科名,family_c,學名,主要中名,refsource之第一筆,參考連結之第一筆
Crambidae,草螟科,Bradina aulacodialis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 250,#https://www.facebook.com/photo.php?fbid=394744500578235&set=o.177883715557195&type=1&theater#
Crambidae,草螟科,Bradina diagonalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 249,#https://www.facebook.com/photo.php?fbid=2893371513256&set=o.177883715557195&type=1&theater#
Crambidae,草螟科,Camptomastix hisbonalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 192,#https://www.facebook.com/photo.php?fbid=394720707247281&set=o.177883715557195&type=1&ref=nf#
Crambidae,草螟科,Cataclysta angulata,,,#https://www.facebook.com/photo.php?fbid=256845801124423&set=oa.465717243521026&type=3&theater#
Crambidae,草螟科,Ceratarcha umbrosa,黑紋蠟野螟,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 232,#https://www.facebook.com/photo.php?fbid=254238661385137&set=oa.463437060415711&type=3&theater#
Crambidae,草螟科,Circobotys aurealis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 262,#https://www.facebook.com/photo.php?fbid=333925940028278&set=oa.457274324284798&type=1&theater#
Crambidae,草螟科,Cirrhochrista spinuella,單棘黃緣禾螟蛾,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=4989419412664&set=oa.465470320212385&type=3&theater#
Crambidae,草螟科,Cirrhochrista spissalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 187,#https://www.facebook.com/photo.php?fbid=10204276368143369&set=o.458912734201477&type=3&theater#
Crambidae,草螟科,Cotachena pubescens,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 245,#https://www.facebook.com/photo.php?fbid=571382052884419&set=oa.461796713913079&type=3&theater#
Crambidae,草螟科,Diplopseustis perieresalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 96,#https://www.facebook.com/photo.php?fbid=337278176397201&set=oa.589852744440808&type=3&theater#
Crambidae,草螟科,Eoophyla conjunctalis,連斑水螟,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 61,#https://www.facebook.com/photo.php?fbid=390788877726687&set=o.458912734201477&type=3&theater#
Crambidae,草螟科,Eugauria albidentata,,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=650206271672879&set=oa.460230424069708&type=3&theater#
Crambidae,草螟科,Glyphodes actorionalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 116,#https://www.facebook.com/photo.php?fbid=479077565559990&set=o.177883715557195&type=1&permPage=1#
Crambidae,草螟科,Glyphodes pyloalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 118,#https://www.facebook.com/photo.php?fbid=2735130156375&set=gm.438150936197137&type=1&theater#
Crambidae,草螟科,Haritalodes derogatus,,,#https://www.facebook.com/photo.php?fbid=649200278428402&set=gm.601317683213794&type=1#
Crambidae,草螟科,Leucinodes apicalis,黑頂白翅野螟,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 242,#https://www.facebook.com/photo.php?fbid=468930933121146&set=o.177883715557195&type=1&theater#
Crambidae,草螟科,Maruca vitrata,豆莢螟,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 138,#https://www.facebook.com/photo.php?fbid=231422126972902&set=o.177883715557195&type=3&theater#
Crambidae,草螟科,Nacoleia commixta,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 221,#http://www.facebook.com/photo.php?fbid=3212680156156&set=o.177883715557195&type=1&ref=nf#
Crambidae,草螟科,Nevrina procopia,脈紋野螟蛾,鞍馬山的蛾 2 ;  Page : 29,#https://www.facebook.com/photo.php?fbid=4928812262707&set=o.177883715557195&type=1&permPage=1#
Crambidae,草螟科,Nymphicula yoshiyasui,,,
Crambidae,草螟科,Paracymoriza cataclystalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 65,#https://www.facebook.com/photo.php?fbid=653450321338397&set=oa.461210637305020&type=1&theater#
Crambidae,草螟科,Parotis margarita,,,#https://www.facebook.com/photo.php?fbid=584295538277739&set=oa.463074407118643&type=3&theater#
Crambidae,草螟科,Physematia defloralis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 258,#https://www.facebook.com/photo.php?fbid=509109879105330&set=o.177883715557195&type=1&permPage=1#
Crambidae,草螟科,Piletocera aegimiusalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 191,#https://www.facebook.com/photo.php?fbid=458788907541980&set=oa.458927214200029&type=3&theater#
Crambidae,草螟科,Pleuroptya chlorophanta,,,#https://www.facebook.com/photo.php?fbid=343857115739307&set=oa.589852744440808&type=3&theater#
Crambidae,草螟科,Pleuroptya quadrimaculalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 160,#https://www.facebook.com/photo.php?fbid=571400682882556&set=oa.461796713913079&type=3&theater#
Crambidae,草螟科,Rhectothyris gratiosalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 255,#https://www.facebook.com/photo.php?fbid=861327653884381&set=o.177883715557195&type=1&permPage=1#
Crambidae,草螟科,Sameodes cancellalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 104,#https://www.facebook.com/photo.php?fbid=247548608782982&set=o.458912734201477&type=3&theater#
Crambidae,草螟科,Spoladea recurvalis,,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 108,#https://www.facebook.com/photo.php?fbid=486516154754191&set=gm.606336486045247&type=1#
Crambidae,草螟科,Tyspanodes hypsalis,黃黑紋野螟,認識台灣的昆蟲 19 螟蛾總科 ;  Page : 212,#https://www.facebook.com/photo.php?fbid=3348578153521&set=o.177883715557195&type=1&permPage=1#
Drepanidae,鉤蛾科,Amphitorna purpureofascia,後凹角鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 65,#https://www.facebook.com/photo.php?fbid=4267822551931&set=o.458912734201477&type=3&theater#
Drepanidae,鉤蛾科,Auzatellodes arizanus,阿里山透明鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 59,#https://www.facebook.com/photo.php?fbid=471754712838668&set=o.177883715557195&type=1&permPage=1#
Drepanidae,鉤蛾科,Callidrepana patrana,五倍樹鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 44,#https://www.facebook.com/photo.php?fbid=352534894801241&set=o.177883715557195&type=1&theater#
Drepanidae,鉤蛾科,Cyclidia substigmaria substigmaria,八角楓鉤蛾,太魯閣國家公園區蛾類相之研究 ;  Page : ,#http://www.facebook.com/photo.php?fbid=3311219499578&set=o.177883715557195&type=1&ref=nf#
Drepanidae,鉤蛾科,Ditrigona triangularia,燕鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 48,#https://www.facebook.com/photo.php?fbid=859784517368217&set=o.458912734201477&type=3&theater#
Drepanidae,鉤蛾科,Drapetodes mitaria,細紋黃鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 22,#https://www.facebook.com/photo.php?fbid=864283463588800&set=o.177883715557195&type=1&permPage=1#
Drepanidae,鉤蛾科,Horithyatira takamukui,連珠波紋蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 31,#https://www.facebook.com/photo.php?fbid=394713437248008&set=o.177883715557195&type=1&theater#
Drepanidae,鉤蛾科,Leucobrepsis fenestraria,六窗帶鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 69,#https://www.facebook.com/photo.php?fbid=644292448918326&set=o.177883715557195&type=3&permPage=1#
Drepanidae,鉤蛾科,Leucobrepsis taiwanensis,四窗帶鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 67,#https://www.facebook.com/photo.php?fbid=416042775085300&set=o.177883715557195&type=1&permPage=1#
Drepanidae,鉤蛾科,Macrocilix mysticata flavotincta,啞鈴帶鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 55,#https://www.facebook.com/photo.php?fbid=629890740428945&set=o.458912734201477&type=3&theater#
Drepanidae,鉤蛾科,Microblepsis manleyi formosensis,黑角帶釣蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 31,#https://www.facebook.com/photo.php?fbid=252950778180592&set=oa.462004073892343&type=3&theater#
Drepanidae,鉤蛾科,Nordstromia semililacina,黑點雙帶鉤蛾,合歡山的蛾 ;  Page : 47,#http://www.facebook.com/photo.php?fbid=234214373283873&set=o.177883715557195&type=1&ref=nf#
Drepanidae,鉤蛾科,Oreta extensa,L紋鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 77,#https://www.facebook.com/photo.php?fbid=3306028049795&set=o.177883715557195&type=1&theater#
Drepanidae,鉤蛾科,Oreta fuscopurpurea,鉛斑鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 78,#https://www.facebook.com/photo.php?fbid=461929823891305&set=oa.459494137476670&type=3&theater#
Drepanidae,鉤蛾科,Oreta insignis,波帶鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 26,#https://www.facebook.com/photo.php?fbid=150034405121580&set=oa.433870243291873&type=1&theater#
Drepanidae,鉤蛾科,Oreta loochooana,黃斜帶鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 70,#http://www.facebook.com/photo.php?fbid=3311281941139&set=o.177883715557195&type=1&ref=nf#
Drepanidae,鉤蛾科,Phalacra kagiensis,擬凹角鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 64,#https://www.facebook.com/photo.php?fbid=310197165730572&set=o.177883715557195&type=3&theater#
Drepanidae,鉤蛾科,Sewa taiwana,台灣波紋鉤蛾,鞍馬山的蛾 2 ;  Page : 33,#https://www.facebook.com/photo.php?fbid=398418746877477&set=o.177883715557195&type=1&permPage=1#
Drepanidae,鉤蛾科,Thyatira batis formosicola,大斑波紋蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 26,#https://www.facebook.com/photo.php?fbid=208827092571708&set=o.177883715557195&type=1&theater#
Drepanidae,鉤蛾科,Zusidava serratilinea,波帶白鉤蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 51,#https://www.facebook.com/photo.php?fbid=10150828449550583&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Adrapsa ablualis,廣櫛裳蛾,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 5,#https://www.facebook.com/photo.php?fbid=334141830076956&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Adrapsa quadrilinealis,鋸帶櫛裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 437,#https://www.facebook.com/photo.php?fbid=637410753008121&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Adrapsoides reticulatis,,,#https://www.facebook.com/photo.php?fbid=223068477809807&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Aglaomorpha histrio formosana,大麗燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 29,#https://www.facebook.com/photo.php?fbid=314760591938317&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Amata hirayamae,明窗鹿蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 173,#http://www.facebook.com/photo.php?fbid=235861849862263&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Amata perixanthia,廣鹿蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 182,#https://www.facebook.com/photo.php?fbid=419806451392606&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Amerila astrea,閃光玫燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 6,#https://www.facebook.com/photo.php?fbid=4989398412139&set=oa.465470320212385&type=3&theater#
Erebidae,裳蛾科,Amsacta lactinea,紅緣燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 41,#https://www.facebook.com/photo.php?fbid=576004202440206&set=oa.463074407118643&type=3&theater#
Erebidae,裳蛾科,Amsactoides solitaria,,,#https://www.facebook.com/photo.php?fbid=782116205153682&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Anisoneura aluco,樹皮亂紋夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 199,#https://www.facebook.com/photo.php?fbid=469931659807914&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Anisoneura salebrosa,亂紋夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 200,#https://www.facebook.com/photo.php?fbid=293532090739426&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Arctornis cygna,小點白毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 36,#http://www.flickr.com/photos/hkguu/4015198689/in/set-72157622169894055#
Erebidae,裳蛾科,Areas galactina formosana,乳白斑燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 43,#https://www.facebook.com/photo.php?fbid=472912682820440&set=oa.590022091090540&type=3&theater#
Erebidae,裳蛾科,Argina argus,胡麻斑紅燈娥,認識台灣的昆蟲 7 燈蛾科 ;  Page : 8,#https://www.facebook.com/photo.php?fbid=1434753560114685&set=gm.649189745173774&type=1&theater#
Erebidae,裳蛾科,Arna bipunctapex,雙斑黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 69,#https://www.facebook.com/photo.php?fbid=461359790618225&set=oa.461679043924846&type=3&theater#
Erebidae,裳蛾科,Asota caricae,一點擬燈夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 8,#https://www.facebook.com/photo.php?fbid=583998755032710&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Asota egens indica,橙擬燈夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 7,#https://www.facebook.com/photo.php?fbid=10151432229935583&set=oa.459529720806445&type=3&theater#
Erebidae,裳蛾科,Asota ficus,榕擬燈夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 9,#https://www.facebook.com/photo.php?fbid=866521633362931&set=oa.623156694443746&type=3&theater#
Erebidae,裳蛾科,Asota heliconia zebrina,圓端擬燈夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 6,#https://www.facebook.com/photo.php?fbid=863721133645033&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Asota plana lacteata,長斑擬燈夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 11,#https://www.facebook.com/photo.php?fbid=880512728631149&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Asura arcuata,短梯紋豔苔蛾,Lepidoptera of Taiwan Volume 1 ;  Page : 168,#https://www.facebook.com/photo.php?fbid=4989404292286&set=oa.465470320212385&type=3&theater#
Erebidae,裳蛾科,Asura strigipennis,,Lepidoptera of Taiwan Volume 1 ;  Page : 168,#https://www.facebook.com/photo.php?fbid=228961160548928&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Asura tricolor,三色艷苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 137,#https://www.facebook.com/photo.php?fbid=254315378044132&set=oa.463463577079726&type=3&theater#
Erebidae,裳蛾科,Asuridia inouei,井上氏鏽苔蛾,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=414566838574055&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Avatha chinensis,華宇夜蛾,鞍馬山的蛾1 ;  Page : 69,#https://www.facebook.com/photo.php?fbid=765634816790371&set=gm.654433357982746&type=1&theater#
Erebidae,裳蛾科,Barsine albidorsalis,褐白美苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 138,#https://www.facebook.com/photo.php?fbid=471754462838693&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Barsine fuscozonata,灰黑美苔蛾,合歡山的蛾 ;  Page : 314,#https://www.facebook.com/photo.php?fbid=452471194847047&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Barsine horishanella,埔里美苔蛾,合歡山的蛾 ;  Page : 320,#https://www.facebook.com/photo.php?fbid=468928896454683&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Barsine sauteri,,,#https://www.facebook.com/photo.php?fbid=471755416171931&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Bastilla arcuata,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 179,#https://www.facebook.com/photo.php?fbid=420802784693354&set=oa.465220416904042&type=3&theater#
Erebidae,裳蛾科,Bastilla joviana,,,#https://www.facebook.com/photo.php?fbid=4989407612369&set=oa.465470320212385&type=3&theater#
Erebidae,裳蛾科,Batracharta divisa,雀裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 113,#https://www.facebook.com/photo.php?fbid=571807196168931&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Bertula abjudicalis,彎帶擬胸鬚裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 402,#https://www.facebook.com/photo.php?fbid=652029088219323&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Bertula albipunctata,車厚翅蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 411,#https://www.facebook.com/photo.php?fbid=464481503639387&set=oa.458927214200029&type=3&theater#
Erebidae,裳蛾科,Bertula kosemponica,甲仙擬胸鬚裳蛾,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 14,#https://www.facebook.com/photo.php?fbid=10152832132440173&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Blasticorhinus bifasciata,雙線幅裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 91,#https://www.facebook.com/photo.php?fbid=853140411380333&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Bocana manifestalis,砵裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 440,
Erebidae,裳蛾科,Caduca albopunctata,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 130,#http://www.flickr.com/photos/hkguu/6079992560/in/photostream#
Erebidae,裳蛾科,Calliteara angulata,點茸毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 7,#https://www.facebook.com/photo.php?fbid=3338573863420&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Calliteara grotei horishanella,線茸毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 10,#https://www.facebook.com/photo.php?fbid=4275429343817&set=gm.614705575208338&type=1#
Erebidae,裳蛾科,Calliteara lunulata takamukana,,,#https://www.facebook.com/photo.php?fbid=226761764107145&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Calliteara postfusca,褐結麗毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 14,#https://www.facebook.com/photo.php?fbid=909645009049169&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Cephena costata,泛裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 33,#https://www.facebook.com/photo.php?fbid=979968792020226&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Cerynea igniaria,,,#https://www.facebook.com/photo.php?fbid=483831678323208&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Chalciope mygdon,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 190,#https://www.facebook.com/photo.php?fbid=788821431136927&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Chamaita hirta,半褐小苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 153,#https://www.facebook.com/photo.php?fbid=653446888005407&set=oa.461210637305020&type=1&theater#
Erebidae,裳蛾科,Chamaita ranruna,單點昏黃小苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 154,#http://www.facebook.com/photo.php?fbid=414134865277810&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Chrysaeglia magnifica,閃光苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 95,#https://www.facebook.com/photo.php?fbid=181319635326390&set=oa.486546851357545&type=1&theater#
Erebidae,裳蛾科,Chrysorabdia vilemani,雙帶苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 93,#https://www.facebook.com/photo.php?fbid=246282335575235&set=oa.649040601855355&type=1&theater#
Erebidae,裳蛾科,Churinga virago,橙褐丘苔蛾,鞍馬山的蛾1 ;  Page : 130,#https://www.facebook.com/photo.php?fbid=393939930658692&set=o.177883715557195&type=1&theater#
